TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-06-19 12:44:26,1781873066109,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app/,GET,,500,6hq9r-1781873064915-2bac9c725fc0,vercel-favicon/1.0,error,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app,dpl_6kfGYvpsuCHwYb7EmbikphguHEnD,,,,,"◇ injected env (0) from .env // tip: ⌘ override existing { override: true }
MongoDB Connection Error: Missing MongoDB URI. Set MONGODB_URI (or MONGO_URI) in .env
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,,,,,
2026-06-19 12:44:24,1781873064915,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app/,GET,,500,6hq9r-1781873064915-2bac9c725fc0,vercel-favicon/1.0,,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app,task-management-application1-djmeg67yj-vinith-kumar-rs-projects.vercel.app,dpl_6kfGYvpsuCHwYb7EmbikphguHEnD,726,iad1,-1,2048,,prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,01KVFYJFCVN5GBXTBMAPDF58ZQ,,-1,,
2026-06-19 12:37:33,1781872653094,task-management-application1.vercel.app/favicon.ico,GET,,500,595z4-1781872651987-55297009f94b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,,,,,"◇ injected env (0) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
MongoDB Connection Error: Missing MongoDB URI. Set MONGODB_URI (or MONGO_URI) in .env
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,,,,,
2026-06-19 12:37:31,1781872651987,task-management-application1.vercel.app/favicon.ico,GET,,500,595z4-1781872651987-55297009f94b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,733,iad1,-1,2048,,prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,01KVFY5W1QQW1DBEFQ4DKVRV1N,,-1,,
2026-06-19 12:37:31,1781872651601,task-management-application1.vercel.app/,GET,,500,92lpb-1781872650478-ea4228b31568,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,,,,,"◇ injected env (0) from .env // tip: ⌘ override existing { override: true }
MongoDB Connection Error: Missing MongoDB URI. Set MONGODB_URI (or MONGO_URI) in .env
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,,,,,
2026-06-19 12:37:30,1781872650478,task-management-application1.vercel.app/,GET,,500,92lpb-1781872650478-ea4228b31568,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,767,iad1,-1,2048,,prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,01KVFY5THZPW0DDEMS05B140SG,,-1,,
2026-06-19 12:35:24,1781872524815,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app/favicon.png,GET,,500,zsnqt-1781872524013-bf69f59fd9f3,vercel-favicon/1.0,error,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,,,,,"◇ injected env (0) from .env // tip: ◈ secrets for agents [www.dotenvx.com]
MongoDB Connection Error: Missing MongoDB URI. Set MONGODB_URI (or MONGO_URI) in .env
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,,,,,
2026-06-19 12:35:24,1781872524013,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app/favicon.png,GET,,500,zsnqt-1781872524013-bf69f59fd9f3,vercel-favicon/1.0,,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app,task-management-application1-pwic6g6zz-vinith-kumar-rs-projects.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,737,iad1,-1,2048,,prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,01KVFY1YRWSHYN2M434DY4TPE8,,-1,,
2026-06-19 12:35:23,1781872523827,task-management-application1.vercel.app/favicon.ico,GET,,500,5v2nx-1781872522704-82e6b4b805be,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",error,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,,,,,"◇ injected env (0) from .env // tip: ◈ secrets for agents [www.dotenvx.com]
MongoDB Connection Error: Missing MongoDB URI. Set MONGODB_URI (or MONGO_URI) in .env
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,,,,,
2026-06-19 12:35:22,1781872522704,task-management-application1.vercel.app/favicon.ico,GET,,500,5v2nx-1781872522704-82e6b4b805be,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,production,main,MISS,function,/_svc/task-management-api/index,task-management-application1.vercel.app,task-management-application1.vercel.app,dpl_DvqZ3VR3oNgoWQBysRMG42HMqtf8,745,iad1,-1,2048,,prj_o237HagVYyYZRTbNOj2cNFVqR0pY,,,01KVFY1XT0CG975CXBF2W9NRMZ,,-1,,
